id,question,thinking,solution
23,"Windows Server IIS应用池频繁崩溃回收，Event Log显示w3wp.exe异常","IIS应用池不稳定，可能是内存泄漏、未处理异常或配置问题","1. 查看Event Viewer中Application和System日志的详细错误 2. 配置crash dump收集：procdump -ma -e w3wp.exe 3. 检查应用池回收条件设置 4. 使用Debug Diagnostic Tool分析dump文件 5. 检查.NET应用是否有未释放的数据库连接或内存泄漏 6. 启用Failed Request Tracing定位具体请求"
24,"网络设备SNMP trap告警显示核心路由器BGP邻居关系down","BGP session断开影响路由互联，可能是链路故障或配置变更","1. 登录路由器查看BGP状态：show ip bgp summary 2. 检查物理接口状态和光模块告警 3. 查看BGP日志确认Notification消息原因 4. 检查是否有route-map或prefix-list变更 5. 检查对端设备状态和配置 6. 手动clear ip bgp neighbor重新建立邻居关系"
25,"生产数据库误执行DELETE操作，删除了大量业务数据","数据误删除的紧急恢复，需要利用备份和日志恢复数据","1. 立即停止相关应用写入防止数据覆盖 2. 检查最近一次完整备份时间 3. 如果开启了binlog则使用mysqlbinlog做点恢复 4. 从备份恢复到临时实例 5. 将误删数据导出并导入生产库 6. 事后配置SQL审计和权限收紧，重要操作需审批"
26,"HAProxy负载均衡器后端健康检查全部失败，所有服务不可用","负载均衡健康检查异常，可能是检查配置错误或后端统一出问题","1. 查看HAProxy stats页面确认各backend状态 2. 手动测试后端服务：curl -v http://后端IP:端口/health 3. 检查HAProxy配置中option httpchk的路径和返回码 4. 检查后端服务器是否有统一依赖（如配置中心）故障 5. 临时设置backup server保持最低可用性 6. 修复后端服务后验证HAProxy自动恢复"
27,"Ansible自动化部署playbook执行失败，提示SSH host key verification failed","Ansible SSH连接问题，需要修复主机密钥验证","1. 检查ansible.cfg中host_key_checking配置 2. 清理~/.ssh/known_hosts中的旧条目 3. 使用ssh-keyscan重新获取主机密钥 4. 检查目标主机是否重装系统导致密钥变更 5. 在ansible.cfg设置host_key_checking=False（仅限内网环境） 6. 配置SSH配置文件StrictHostKeyChecking选项"
28,"AWS EC2实例无法访问RDS数据库，连接超时","云环境网络连接问题，通常是安全组或子网路由配置问题","1. 检查EC2和RDS的安全组规则是否允许对应端口 2. 确认EC2和RDS在同一VPC或已建立VPC Peering 3. 检查子网路由表和网络ACL 4. 从EC2使用telnet测试RDS端口连通性 5. 检查RDS实例是否是publicly accessible设置 6. 验证RDS安全组入站规则是否包含EC2的安全组ID"
29,"Prometheus监控告警规则不生效，明明指标已超阈值但未收到告警","告警链路问题，可能是规则配置、Alertmanager或通知渠道异常","1. 检查Prometheus告警规则语法：promtool check rules rules.yml 2. 在Prometheus UI的Alerts页面查看规则状态 3. 检查Alertmanager是否正常运行和接收告警 4. 验证Alertmanager的route和receiver配置 5. 检查邮件/钉钉/微信等通知渠道的webhook配置 6. 查看Alertmanager日志排查通知发送失败原因"
30,"服务器遭受勒索软件攻击，大量文件被加密，后缀变为.locked","勒索软件安全事件，需要紧急隔离和恢复","1. 立即将受感染服务器从网络隔离，防止横向传播 2. 不要重启机器，保留内存中的加密密钥 3. 确认勒索软件类型，查询nomoreransom.org是否有解密工具 4. 从离线备份或异地备份恢复数据 5. 全面扫描其他服务器确认感染范围 6. 修补入侵入口（如RDP漏洞）并加固安全基线 7. 向安全团队和管理层报告事件"
31,"Ceph存储集群出现slow requests告警，IO延迟明显增加","Ceph OSD性能下降，可能是磁盘故障、网络瓶颈或恢复操作影响","1. ceph health detail查看具体告警信息 2. ceph osd perf检查各OSD的延迟 3. 检查是否有OSD在做recovery/backfill操作 4. 使用smartctl检查磁盘健康状态 5. 检查集群内部网络带宽和丢包情况 6. 临时降低recovery优先级：ceph osd set norecovery"
32,"微服务注册中心Nacos突然不可用，所有服务发现和配置失效","Nacos故障影响整个微服务架构的服务发现","1. 检查Nacos进程和端口：netstat -tlnp | grep 8848 2. 查看Nacos日志：tail -f logs/naming-server.log 3. 检查Nacos依赖的MySQL/Derby数据库 4. 如果是集群模式检查Raft选主状态 5. 重启Nacos服务并验证服务注册恢复 6. 评估是否需要客户端本地缓存兜底"
33,"GitLab仓库出现数据损坏，git fsck报告corrupt objects","Git仓库数据损坏，需要修复或从备份恢复","1. 运行git fsck --full详细检查损坏对象 2. 尝试git reflog recover找回丢失的commits 3. 如有备份则从备份恢复损坏的对象文件 4. 使用git clone --mirror从远端重新克隆 5. 检查服务器磁盘是否有坏道 6. 配置定期的GitLab备份策略：gitlab-backup create"
34,"MySQL InnoDB死锁频繁发生，应用报错Deadlock found","数据库死锁问题，需要分析死锁日志并优化事务","1. SHOW ENGINE INNODB STATUS查看最近死锁信息 2. 分析死锁涉及的表和索引 3. 确保事务中以相同顺序访问表 4. 缩短事务执行时间，避免长事务 5. 为高并发表添加合适的索引减少锁范围 6. 配置innodb_lock_wait_timeout并在应用层做重试"
35,"Docker Swarm集群节点失联，部分服务副本数不足","Swarm节点故障导致服务降级","1. docker node ls检查各节点状态 2. 尝试SSH登录失联节点排查原因 3. 如节点不可恢复则docker node rm移除节点 4. docker service ls检查受影响的服务 5. docker service update --force强制重新调度 6. 添加新节点补充集群容量"
36,"公司局域网出现IP地址冲突，多台设备间歇性断网","IP冲突导致网络不稳定，需要定位冲突设备","1. 使用arping或arp-scan扫描冲突IP 2. 在交换机上查看MAC地址表定位端口 3. 检查DHCP服务器地址池范围是否与静态IP冲突 4. 使用Wireshark抓包分析ARP响应 5. 为冲突设备重新分配IP地址 6. 规划IP地址段并启用DHCP Snooping防护"
37,"Tomcat应用频繁Full GC，每次停顿超过5秒，用户体验严重下降","JVM垃圾收集问题，堆内存配置或GC算法需要优化","1. 分析GC日志：-verbose:gc -XX:+PrintGCDetails 2. 使用jmap -heap查看堆内存分代情况 3. 检查是否存在内存泄漏：jmap -histo:live 4. 调整新生代和老年代比例 5. 考虑切换到G1或ZGC收集器 6. 增大堆内存并配置-XX:MaxGCPauseMillis目标"
38,"NFS文件共享挂载点变为只读，应用无法写入文件","NFS挂载异常，可能是服务端磁盘错误或网络问题导致","1. 检查mount输出中NFS挂载选项是否变为ro 2. dmesg查看是否有nfs server not responding消息 3. 检查NFS服务器端exports配置和磁盘状态 4. 尝试重新挂载：mount -o remount,rw /mnt/nfs 5. 检查NFS服务器端防火墙和rpcbind服务 6. 如服务器磁盘出现只读则先修复文件系统"
39,"Kubernetes Ingress控制器配置更新后所有路由失效，返回404","Ingress配置错误导致路由丢失","1. kubectl get ingress -A检查所有Ingress资源状态 2. kubectl describe ingress检查Events和后端配置 3. 查看Ingress Controller日志：kubectl logs -n ingress-nginx 4. 验证Service和Endpoints是否正常 5. 检查IngressClass配置是否匹配 6. 回滚到上一版本配置并逐步排查变更内容"
40,"备份系统Veeam作业失败，错误显示处理超时","备份作业超时，可能是数据量过大、网络瓶颈或存储性能不足","1. 查看Veeam备份日志确认具体超时阶段 2. 检查备份存储空间是否充足 3. 检查备份网络带宽使用情况 4. 调整备份作业的并行任务数 5. 考虑启用增量备份替代全量备份 6. 检查VMware快照是否正常创建和删除"
41,"Linux服务器被入侵，/tmp目录下发现可疑挖矿程序","服务器安全事件，存在挖矿木马需要紧急处置","1. 立即kill可疑进程：kill -9 PID 2. 检查/tmp和/var/tmp中的异常文件并删除 3. 查看crontab -l和/etc/cron.*是否有定时任务 4. 检查/root/.ssh/authorized_keys是否被篡改 5. 审查/var/log/secure查找入侵路径 6. 修改所有账号密码并修补漏洞 7. 安装rkhunter/ClamAV全盘扫描"
42,"MongoDB副本集选举失败，集群无法写入数据","MongoDB副本集无法选出Primary节点","1. rs.status()检查各成员状态和选举信息 2. 确认大多数节点可达（需要N/2+1节点） 3. 检查节点间网络连通性和延迟 4. 查看mongod.log中的选举相关日志 5. 如果节点配置漂移则使用rs.reconfig()修复 6. 必要时使用force选项强制重新配置"
43,"Zookeeper集群抖动，Kafka依赖的Session频繁过期","ZK不稳定影响Kafka等依赖服务的正常运行","1. 检查ZK各节点的四字命令：echo stat | nc localhost 2181 2. 查看ZK日志中的session expired和connection loss 3. 检查ZK服务器的磁盘IO（数据日志写入延迟） 4. 增大tickTime和syncLimit配置 5. 将ZK数据目录迁移到SSD 6. 升级到更高版本或迁移到KRaft模式"
44,"CoreDNS在K8s集群中CPU使用率飙升，服务间DNS解析缓慢","集群DNS服务过载，可能是DNS查询风暴或配置不当","1. kubectl top pod -n kube-system查看CoreDNS资源使用 2. 检查CoreDNS日志是否有大量NXDOMAIN 3. 检查ndots配置是否导致过多DNS搜索 4. 在Pod的dnsConfig中优化ndots值为2 5. 增加CoreDNS副本数做水平扩展 6. 启用NodeLocal DNSCache减少跨节点查询"
45,"RabbitMQ队列消息堆积导致内存告警，触发flow control限流","RabbitMQ内存压力大影响消息吞吐","1. rabbitmqctl list_queues name messages查看队列堆积 2. 检查consumer是否正常连接和消费 3. 提高vm_memory_high_watermark阈值（临时方案） 4. 为堆积队列启用lazy queue模式将消息写入磁盘 5. 增加consumer并发数加快消费 6. 设置消息TTL和max-length防止无限堆积"
46,"负载均衡VIP发生漂移，主备切换不稳定导致服务闪断","Keepalived主备频繁切换影响VIP稳定性","1. 查看keepalived日志确认切换原因 2. 检查VRRP心跳网络是否丢包 3. 调整advert_int和priority参数 4. 检查健康检查脚本是否误判 5. 配置nopreempt防止主节点恢复后抢占 6. 在交换机上检查是否有VRRP报文被过滤"
47,"SSL VPN用户反馈连接后无法访问特定网段的内部资源","VPN路由或ACL配置问题导致访问受限","1. 检查VPN客户端分配的IP地址和路由表 2. 确认VPN服务器端的split tunnel配置 3. 检查目标网段的防火墙是否允许VPN网段访问 4. 在客户端tracert/traceroute检查路由路径 5. 验证VPN用户组的ACL策略配置 6. 检查目标服务器是否有回程路由指向VPN网关"
48,"VMware vCenter Server服务无法启动，VCSA管理界面502错误","vCenter核心服务异常影响整个虚拟化管理","1. SSH登录VCSA执行service-control --status --all检查各服务 2. 检查/var/log/vmware/目录下的相关服务日志 3. 检查VCSA磁盘空间：df -h（根分区和数据库分区） 4. 检查PostgreSQL数据库状态 5. 尝试service-control --start --all重启所有服务 6. 如磁盘满则清理日志和core dump文件"
49,"Grafana仪表盘加载缓慢，部分面板显示Query timeout","Grafana查询性能问题，可能是数据源查询太慢或数据量太大","1. 检查Grafana面板中每个查询的执行时间 2. 优化PromQL/SQL查询范围缩小时间窗口 3. 检查数据源（Prometheus/InfluxDB）性能 4. 增加Grafana的查询超时配置 5. 对高基数指标使用recording rules预聚合 6. 考虑拆分复杂仪表盘减少单页面查询数"
50,"全量备份恢复测试失败，备份文件校验不通过显示CRC错误","备份文件损坏，备份策略可靠性存在风险","1. 检查备份存储介质是否有坏道或错误 2. 验证最近3次备份的完整性 3. 检查备份过程中是否有网络中断或IO错误 4. 从异地备份副本尝试恢复 5. 调整备份策略增加校验步骤 6. 配置备份完成后自动执行恢复验证 7. 建立定期的备份恢复演练制度"
